app,view,theme,resolution,status,ssim,ssim_method,mean_abs_diff,max_abs_diff,changed_pixel_ratio,size_mismatch,acceptance_failures,capture_status,capture_technical_valid,capture_state_valid,capture_evidence_flags,target_file,actual_file,diff_file
suite,dbt-practice-stop,light,960x600,FAIL,0.75719,skimage,0.21719,0.84314,0.8144,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa/_mockup_targets/suite-dbt-practice-stop-light-960x600.png,qa/_captures_v8_fresh/suite-dbt-practice-stop-light-960x600.png,qa/_fidelity_fresh/suite-dbt-practice-stop-light-960x600-diff.png
suite,home,dark,960x600,FAIL,0.68307,skimage,0.05878,0.83137,0.30182,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa/_mockup_targets/suite-home-dark-960x600.png,qa/_captures_v8_fresh/suite-home-dark-960x600.png,qa/_fidelity_fresh/suite-home-dark-960x600-diff.png
suite,home,light,960x600,FAIL,0.67784,skimage,0.06498,0.80392,0.38945,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa/_mockup_targets/suite-home-light-960x600.png,qa/_captures_v8_fresh/suite-home-light-960x600.png,qa/_fidelity_fresh/suite-home-light-960x600-diff.png
suite,home-no-score,dark,960x600,FAIL,0.69323,skimage,0.05403,0.83137,0.26153,False,"ssim<0.92,mad>0.035,changed>0.08,capture_state_not_product_evidence",REQUIRES_DATA_STATE,True,False,REQUIRES_DATA_STATE,qa/_mockup_targets/suite-home-no-score-dark-960x600.png,qa/_captures_v8_fresh/suite-home-no-score-dark-960x600.png,qa/_fidelity_fresh/suite-home-no-score-dark-960x600-diff.png
suite,home-no-score,light,960x600,FAIL,0.69336,skimage,0.06336,0.81176,0.37496,False,"ssim<0.92,mad>0.035,changed>0.08,capture_state_not_product_evidence",REQUIRES_DATA_STATE,True,False,REQUIRES_DATA_STATE,qa/_mockup_targets/suite-home-no-score-light-960x600.png,qa/_captures_v8_fresh/suite-home-no-score-light-960x600.png,qa/_fidelity_fresh/suite-home-no-score-light-960x600-diff.png
suite,onboarding,dark,520x600,FAIL,0.65284,skimage,0.04473,0.83137,0.14145,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa/_mockup_targets/suite-onboarding-dark-520x600.png,qa/_captures_v8_fresh/suite-onboarding-dark-520x600.png,qa/_fidelity_fresh/suite-onboarding-dark-520x600-diff.png
suite,onboarding,light,520x600,FAIL,0.65935,skimage,0.0494,0.80392,0.30213,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa/_mockup_targets/suite-onboarding-light-520x600.png,qa/_captures_v8_fresh/suite-onboarding-light-520x600.png,qa/_fidelity_fresh/suite-onboarding-light-520x600-diff.png
suite,onboarding-error,dark,520x600,FAIL,0.615,skimage,0.05626,0.84314,0.16296,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa/_mockup_targets/suite-onboarding-error-dark-520x600.png,qa/_captures_v8_fresh/suite-onboarding-error-dark-520x600.png,qa/_fidelity_fresh/suite-onboarding-error-dark-520x600-diff.png
suite,onboarding-error,light,520x600,FAIL,0.62322,skimage,0.06321,0.80392,0.31971,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa/_mockup_targets/suite-onboarding-error-light-520x600.png,qa/_captures_v8_fresh/suite-onboarding-error-light-520x600.png,qa/_fidelity_fresh/suite-onboarding-error-light-520x600-diff.png
suite,recuperar-acceso,dark,520x600,FAIL,0.63126,skimage,0.04707,0.83137,0.15849,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa/_mockup_targets/suite-recuperar-acceso-dark-520x600.png,qa/_captures_v8_fresh/suite-recuperar-acceso-dark-520x600.png,qa/_fidelity_fresh/suite-recuperar-acceso-dark-520x600-diff.png
suite,recuperar-acceso,light,520x600,FAIL,0.6336,skimage,0.05208,0.80392,0.30975,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa/_mockup_targets/suite-recuperar-acceso-light-520x600.png,qa/_captures_v8_fresh/suite-recuperar-acceso-light-520x600.png,qa/_fidelity_fresh/suite-recuperar-acceso-light-520x600-diff.png
suite,registro,dark,960x600,FAIL,0.82771,skimage,0.03342,0.83922,0.14028,False,"ssim<0.92,changed>0.08",CAPTURED_VALID,True,True,,qa/_mockup_targets/suite-registro-dark-960x600.png,qa/_captures_v8_fresh/suite-registro-dark-960x600.png,qa/_fidelity_fresh/suite-registro-dark-960x600-diff.png
suite,registro,light,960x600,FAIL,0.84223,skimage,0.05492,0.80392,0.59349,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa/_mockup_targets/suite-registro-light-960x600.png,qa/_captures_v8_fresh/suite-registro-light-960x600.png,qa/_fidelity_fresh/suite-registro-light-960x600-diff.png
suite,registro-step1-emotion,dark,960x600,FAIL,0.76971,skimage,0.05162,0.84314,0.20398,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa/_mockup_targets/suite-registro-step1-emotion-dark-960x600.png,qa/_captures_v8_fresh/suite-registro-step1-emotion-dark-960x600.png,qa/_fidelity_fresh/suite-registro-step1-emotion-dark-960x600-diff.png
suite,registro-step1-emotion,light,960x600,FAIL,0.78878,skimage,0.07283,0.83137,0.43329,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa/_mockup_targets/suite-registro-step1-emotion-light-960x600.png,qa/_captures_v8_fresh/suite-registro-step1-emotion-light-960x600.png,qa/_fidelity_fresh/suite-registro-step1-emotion-light-960x600-diff.png
suite,registro-step1-emotion-otro,dark,960x600,FAIL,0.75494,skimage,0.05233,0.83922,0.19906,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa/_mockup_targets/suite-registro-step1-emotion-otro-dark-960x600.png,qa/_captures_v8_fresh/suite-registro-step1-emotion-otro-dark-960x600.png,qa/_fidelity_fresh/suite-registro-step1-emotion-otro-dark-960x600-diff.png
suite,registro-step1-emotion-otro,light,960x600,FAIL,0.77535,skimage,0.07329,0.83137,0.4967,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa/_mockup_targets/suite-registro-step1-emotion-otro-light-960x600.png,qa/_captures_v8_fresh/suite-registro-step1-emotion-otro-light-960x600.png,qa/_fidelity_fresh/suite-registro-step1-emotion-otro-light-960x600-diff.png
