sequence,theme,product,group,screen_id,screen_title_exact,state_id,state_label_exact,relative_path,capture_target,excluded,source_file,source_sha256,width_px,height_px,added_by_completion
47,dark,Suite · Paciente,Hábitos,timer,Temporizador,paused,Pausado,dark/Suite · Paciente/Hábitos/Temporizador/Pausado.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,571,
48,dark,Suite · Paciente,Hábitos,timer,Temporizador,empty,Sin actividades,dark/Suite · Paciente/Hábitos/Temporizador/Sin actividades.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,571,
49,dark,Suite · Paciente,Hábitos,rutina,Checklist de rutina,default,Con tareas,dark/Suite · Paciente/Hábitos/Checklist de rutina/Con tareas.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,571,
50,dark,Suite · Paciente,Hábitos,rutina,Checklist de rutina,add,Agregar tarea,dark/Suite · Paciente/Hábitos/Checklist de rutina/Agregar tarea.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,571,
51,dark,Suite · Paciente,Hábitos,rutina,Checklist de rutina,done,100% completa,dark/Suite · Paciente/Hábitos/Checklist de rutina/100% completa.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,571,
52,dark,Suite · Paciente,Hábitos,rutina,Checklist de rutina,empty,Sin tareas,dark/Suite · Paciente/Hábitos/Checklist de rutina/Sin tareas.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,571,
53,dark,Suite · Paciente,Cognitivo,actividades,Activación conductual,default,Sugerencias,dark/Suite · Paciente/Cognitivo/Activación conductual/Sugerencias.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,687,
54,dark,Suite · Paciente,Cognitivo,actividades,Activación conductual,filtered,Filtrado,dark/Suite · Paciente/Cognitivo/Activación conductual/Filtrado.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,571,
55,dark,Suite · Paciente,Cognitivo,actividades,Activación conductual,marked,Marcada,dark/Suite · Paciente/Cognitivo/Activación conductual/Marcada.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,687,
56,dark,Suite · Paciente,Cognitivo,actividades,Activación conductual,empty,Vacío,dark/Suite · Paciente/Cognitivo/Activación conductual/Vacío.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,571,
57,dark,Suite · Paciente,Hábitos,avisos,Recordatorios de bienestar,all,Todos,dark/Suite · Paciente/Hábitos/Recordatorios de bienestar/Todos.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,589,
58,dark,Suite · Paciente,Hábitos,avisos,Recordatorios de bienestar,active,Activos,dark/Suite · Paciente/Hábitos/Recordatorios de bienestar/Activos.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,571,
59,dark,Suite · Paciente,Hábitos,avisos,Recordatorios de bienestar,today,Hoy,dark/Suite · Paciente/Hábitos/Recordatorios de bienestar/Hoy.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,571,
60,dark,Suite · Paciente,Hábitos,avisos,Recordatorios de bienestar,search,Búsqueda,dark/Suite · Paciente/Hábitos/Recordatorios de bienestar/Búsqueda.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,571,
61,dark,Suite · Paciente,Hábitos,avisos,Recordatorios de bienestar,empty,Vacío,dark/Suite · Paciente/Hábitos/Recordatorios de bienestar/Vacío.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,571,
62,dark,Suite · Paciente,Habilidades DBT,dbtnow,Habilidades DBT · Ahora,default,Habilidades DBT · Ahora,dark/Suite · Paciente/Habilidades DBT/Habilidades DBT · Ahora/Habilidades DBT · Ahora.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,571,
63,dark,Suite · Paciente,Habilidades DBT,dbtlib,Habilidades DBT · Biblioteca,default,Habilidades DBT · Biblioteca,dark/Suite · Paciente/Habilidades DBT/Habilidades DBT · Biblioteca/Habilidades DBT · Biblioteca.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,755,
64,dark,Suite · Paciente,Cognitivo,registro,Registro de pensamientos (TCC),s0,Situación,dark/Suite · Paciente/Cognitivo/Registro de pensamientos (TCC)/Situación.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,571,
65,dark,Suite · Paciente,Cognitivo,registro,Registro de pensamientos (TCC),s1,Emoción,dark/Suite · Paciente/Cognitivo/Registro de pensamientos (TCC)/Emoción.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,571,
