app,view,theme,resolution,status,ssim,ssim_method,mean_abs_diff,max_abs_diff,changed_pixel_ratio,size_mismatch,acceptance_failures,capture_status,capture_technical_valid,capture_state_valid,capture_evidence_flags,target_file,actual_file,diff_file
suite,dbt-practice-closure,light,960x600,FAIL,0.73889,skimage,0.22602,0.84314,0.88065,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\suite-dbt-practice-closure-light-960x600.png,qa\nm_capturas_actualizadas\suite-dbt-practice-closure-light-960x600.png,
suite,dbt-practice-stop,dark,960x600,FAIL,0.77799,skimage,0.05245,0.90196,0.24946,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\suite-dbt-practice-stop-dark-960x600.png,qa\nm_capturas_actualizadas\suite-dbt-practice-stop-dark-960x600.png,
suite,dbt-practice-stop,light,960x600,FAIL,0.74822,skimage,0.21922,0.84314,0.83302,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\suite-dbt-practice-stop-light-960x600.png,qa\nm_capturas_actualizadas\suite-dbt-practice-stop-light-960x600.png,
suite,home,dark,960x600,FAIL,0.63795,skimage,0.06016,0.85098,0.27564,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\suite-home-dark-960x600.png,qa\nm_capturas_actualizadas\suite-home-dark-960x600.png,
suite,home,light,960x600,FAIL,0.63826,skimage,0.06759,0.81176,0.39959,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\suite-home-light-960x600.png,qa\nm_capturas_actualizadas\suite-home-light-960x600.png,
suite,home-no-score,dark,960x600,FAIL,0.64888,skimage,0.05568,0.83137,0.25237,False,"ssim<0.92,mad>0.035,changed>0.08,capture_state_not_product_evidence",REQUIRES_DATA_STATE,True,False,REQUIRES_DATA_STATE,qa\_mockup_targets\suite-home-no-score-dark-960x600.png,qa\nm_capturas_actualizadas\suite-home-no-score-dark-960x600.png,
suite,home-no-score,light,960x600,FAIL,0.65592,skimage,0.06103,0.81176,0.37468,False,"ssim<0.92,mad>0.035,changed>0.08,capture_state_not_product_evidence",REQUIRES_DATA_STATE,True,False,REQUIRES_DATA_STATE,qa\_mockup_targets\suite-home-no-score-light-960x600.png,qa\nm_capturas_actualizadas\suite-home-no-score-light-960x600.png,
suite,onboarding,dark,520x600,FAIL,0.49774,skimage,0.07261,0.90196,0.2622,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\suite-onboarding-dark-520x600.png,qa\nm_capturas_actualizadas\suite-onboarding-dark-520x600.png,
suite,onboarding,light,520x600,FAIL,0.51055,skimage,0.07126,0.80392,0.40384,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\suite-onboarding-light-520x600.png,qa\nm_capturas_actualizadas\suite-onboarding-light-520x600.png,
suite,onboarding-error,dark,520x600,FAIL,0.48568,skimage,0.07505,0.90196,0.27158,False,"ssim<0.92,mad>0.035,changed>0.08",CAPTURED_VALID,True,True,,qa\_mockup_targets\suite-onboarding-error-dark-520x600.png,qa\nm_capturas_actualizadas\suite-onboarding-error-dark-520x600.png,
