app,view,theme,resolution,status,ssim,ssim_method,mean_abs_diff,max_abs_diff,changed_pixel_ratio,size_mismatch,target_file,actual_file,diff_file
suite,rutina-empty,light,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-rutina-empty-light-960x600.png,qa\_mockup_targets\suite-rutina-empty-light-960x600.png,
suite,timer,dark,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-timer-dark-960x600.png,qa\_mockup_targets\suite-timer-dark-960x600.png,
suite,timer,light,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-timer-light-960x600.png,qa\_mockup_targets\suite-timer-light-960x600.png,
suite,timer-empty,dark,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-timer-empty-dark-960x600.png,qa\_mockup_targets\suite-timer-empty-dark-960x600.png,
suite,timer-empty,light,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-timer-empty-light-960x600.png,qa\_mockup_targets\suite-timer-empty-light-960x600.png,
suite,timer-paused,dark,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-timer-paused-dark-960x600.png,qa\_mockup_targets\suite-timer-paused-dark-960x600.png,
suite,timer-paused,light,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-timer-paused-light-960x600.png,qa\_mockup_targets\suite-timer-paused-light-960x600.png,
suite,timer-preset-45min,dark,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-timer-preset-45min-dark-960x600.png,qa\_mockup_targets\suite-timer-preset-45min-dark-960x600.png,
suite,timer-preset-45min,light,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-timer-preset-45min-light-960x600.png,qa\_mockup_targets\suite-timer-preset-45min-light-960x600.png,
suite,timer-preset-5min,dark,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-timer-preset-5min-dark-960x600.png,qa\_mockup_targets\suite-timer-preset-5min-dark-960x600.png,
suite,timer-preset-5min,light,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-timer-preset-5min-light-960x600.png,qa\_mockup_targets\suite-timer-preset-5min-light-960x600.png,
suite,timer-running,dark,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-timer-running-dark-960x600.png,qa\_mockup_targets\suite-timer-running-dark-960x600.png,
suite,timer-running,light,960x600,PASS,1.0,skimage,0.0,0.0,0.0,False,qa\_mockup_targets\suite-timer-running-light-960x600.png,qa\_mockup_targets\suite-timer-running-light-960x600.png,
